slug	name	installer_type	source_class	downloadURL	appNewVersion	team_id	pkg_receipt	appcatalog_url
huddly	Huddly	dmg	direct	https://app.huddly.com/download/latest/osx	"$(curl -fsIL ${downloadURL}"" | grep -i '^content-disposition' | sed -E 's/.*-([0-9]+\.[0-9]+\.[0-9]+)-.*/\1/g')"""	J659R47HZT		https://appcatalog.cloud/apps/huddly
hudl-sportscode	Hudl Sportscode	appInDmgInZip	direct	https://sportscode64-updates.s3.amazonaws.com/PublicReleaseDmgs/HudlSportscode-$appNewVersion.dmg.zip	"$(curl -fs https://www.hudl.com/downloads/elite | grep -A 1 ""Download Hudl Sportscode"" | grep -o -e ""[0-9.]*"")"	4M6T2C723P		https://appcatalog.cloud/apps/hudl-sportscode
hudl-studio	Hudl Studio	dmg	direct	https://studio-releases.s3.amazonaws.com/Studio-$appNewVersion.dmg	"$(curl -fs https://www.hudl.com/downloads/elite | grep -A 1 ""Download Studio"" | grep -o -e ""[0-9.]*"")"	2YLQ7PASUE		https://appcatalog.cloud/apps/hudl-studio
ipsw-updater	Ipsw Updater	zip	dynamic-scrape	"$(getJSONValue ""$ipswupdaterVersions"" ""[0].url"")"	"$(getJSONValue ""$ipswupdaterVersions"" ""[0].version"")"	YRW6NUGA63		https://appcatalog.cloud/apps/ipsw-updater
jamf-connect-configuration	Jamf Connect Configuration	dmg	direct	https://files.jamfconnect.com/JamfConnect.dmg	"$(curl -fsIL ""${downloadURL}"" | grep ""x-amz-meta-version"" | grep -o ""[0-9.].*[0-9.].*[0-9]"")"	483DWKW443		https://appcatalog.cloud/apps/jamf-connect-configuration
jamf-connect-login	Jamf Connect Login	pkgInDmg	direct	https://files.jamfconnect.com/JamfConnect.dmg	"$(curl -fsIL ""${downloadURL}"" | grep ""x-amz-meta-version"" | grep -o ""[0-9.].*[0-9.].*[0-9]"")"	483DWKW443	com.jamf.connect.login	https://appcatalog.cloud/apps/jamf-connect-login
lg-calibration-studio	Lg Calibration Studio	pkgInZip	direct	https://gscs-b2c.lge.com/downloadFile?fileId=$fileID	"$(curl -sf ""$releaseURL"" | grep -m 1 ""\[Mac\] LG Calibration Studio - version "" | sed -E 's/.*\[Mac\] LG Calibration Studio - version ([^<]+)<\/p>.*/\1/')"	5SKT5H4CPQ		https://appcatalog.cloud/apps/lg-calibration-studio
lucidlink	Lucidlink	pkg	direct	https://www.lucidlink.com/download/latest/osx/stable	"$(curl -fsIL -H ""Referer: https://www.lucidlink.com/download/latest/osx/stable"" ""$downloadURL"" | awk 'BEGIN{IGNORECASE=1}/^location:/{gsub(""\r"",""""); print $2}' | tail -n 1 | sed -E 's|.*/lucid-([0-9]+(\.[0-9]+)+)\.pkg$|\1|')"	Y4KMJPU2B4		https://appcatalog.cloud/apps/lucidlink
luna-display	Luna Display	dmg	direct	https://downloads.astropad.com/luna/mac/latest	"$(curl -sI ""${downloadURL}"" | grep -o -E 'location:.*$' | grep -o -E '\d+\.\d+\.\d+\.\d+')"	8356ZZ8Y5K		https://appcatalog.cloud/apps/luna-display
masv	Masv	dmg	direct	https://dl.massive.io/MASV.dmg	$(curl -fsL 'https://dl.massive.io/latest-mac.yml' | grep 'version:' | awk '{print $NF }')	VHKX7RCAY7		https://appcatalog.cloud/apps/masv
mestrenova	Mestrenova	dmg	direct	https://mestrelab.com/downloads/mnova/mac/MestReNova-$mestrenovaDownloadVersion.dmg	"$(echo ""$mestrenovaDownloadVersion"" | cut -d '-' -f1)"	DH5EKRR34H		https://appcatalog.cloud/apps/mestrenova
microsoft-company-portal	Microsoft Company Portal	pkg	sparkle/feed	"$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()=""Location""]/following-sibling::string[1]/text()' - | sed 's/-Upgrade/-Installer/' 2>/dev/null)"	"$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()=""Update Version""]/following-sibling::string[1]/text()' - 2>/dev/null)"	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-company-portal
microsoft-powershell	Microsoft Powershell	pkg	github	$(downloadURLFromGit PowerShell PowerShell )	$(versionFromGit PowerShell PowerShell )	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-powershell
microsoft-skype-for-business	Microsoft Skype For Business	pkg	msft	https://go.microsoft.com/fwlink/?linkid=832978	"$(curl -fsIL ""$downloadURL"" | grep -i location: | sed -E 's/.*\/[a-zA-Z]*-([0-9.]*)\..*/\1/g')"	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-skype-for-business
network-share-mounter	Network Share Mounter	pkg	dynamic-scrape	"$(curl -sfL ""https://gitlab.rrze.fau.de/api/v4/projects/506/releases/release-$appNewVersion/assets/links/"" | grep -Eo '(http|https)://[a-zA-Z0-9./?=_%:-]*.pkg' | head -n 1)"	$(curl -sfL https://gitlab.rrze.fau.de/api/v4/projects/506/releases | grep -o 'release-[0-9]\+\.[0-9]\+\.[0-9]\+' | grep -o '[0-9]\+\.[0-9]\+\.[0-9]\+' | head -n 1)	C8F68RFW4L	de.fau.rrze.NetworkShareMounter	https://appcatalog.cloud/apps/network-share-mounter
nodejs	Nodejs	pkg	dynamic-scrape	https://nodejs.org/dist/latest/node-$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p').pkg	$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p')	HX7739G8FX		https://appcatalog.cloud/apps/nodejs
nvivo-14	Nvivo 14	dmg	direct	https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg	"$(curl -fsIL ""${downloadURL}"" | grep -i ""^location"" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d ""."" -f1-3)"	8F4S7H8S59		https://appcatalog.cloud/apps/nvivo-14
nvivo-15	Nvivo 15	dmg	direct	https://download.qsrinternational.com/Software/NVivo15forMac/NVivo15.dmg	"$(curl -fsIL ""${downloadURL}"" | grep -i ""^location"" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d ""."" -f1-3)"	8F4S7H8S59		https://appcatalog.cloud/apps/nvivo-15
onscreen-control	Onscreen Control	pkgInZip	direct	https://lmu.lge.com/ExternalService/onscreencontrol/mac/2.0/${downloadFile}	$(echo $downloadFile | grep -o '[0-9].[0-9][0-9]')	5SKT5H4CPQ	com.LGSI.OnScreen-Control	https://appcatalog.cloud/apps/onscreen-control
particulars	Particulars	pkg	direct	https://particulars.app/_downloads/Particulars-latest.pkg	"$(curl -fsI ""${downloadURL}"" | grep -i location | grep -oE ""[0-9]+\.[0-9]+"")"	2Z25XDNP2X	net.glencode.Particulars	https://appcatalog.cloud/apps/particulars
plantronics-hub	Plantronics Hub	pkgInDmg	direct	https://www.poly.com/content/dam/www/software/PlantronicsHubInstaller.dmg	"$(curl -fs ""https://www.poly.com/in/en/support/knowledge-base/kb-article-page?lang=en_US&urlName=Hub-Release-Notes&type=Product_Information__kav"" | grep -o ""(*.*<span>)"" | head -1 | cut -d ""("" -f2 | sed 's/\<\/span\>//g' | cut -d ""<"" -f1)"	SKWK2Q7JJV		https://appcatalog.cloud/apps/plantronics-hub
poll-everywhere	Poll Everywhere	dmg	direct	https://polleverywhere-app.s3.amazonaws.com/mac-stable/$appNewVersion/pollev.dmg	"$(curl -fsL https://www.polleverywhere.com/app/releases/mac | grep h3 --max-count 1 | awk '{ gsub(/<\/?h3>/, """"); print }')"	W48F3X5M8W		https://appcatalog.cloud/apps/poll-everywhere
projectplace	Projectplace	dmg	direct	https://service.projectplace.com/client_apps/desktop/Projectplace-for-mac.dmg		8333HW99E8		https://appcatalog.cloud/apps/projectplace
rhino-7	Rhino 7	dmg	sparkle/feed	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '""' -f 2)"	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString[1]' 2>/dev/null | cut -d '""' -f 2 | cut -d ' ' -f 1)"	D6XDM4N99E		https://appcatalog.cloud/apps/rhino-7
rhino-8	Rhino 8	dmg	sparkle/feed	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '""' -f 2)"	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString)[1]' 2>/dev/null | cut -d '""' -f 2 | cut -d ' ' -f 1)"	D6XDM4N99E		https://appcatalog.cloud/apps/rhino-8
screencloud-player	Screencloud Player	dmg	dynamic-scrape	"$(curl -fs ""https://screencloud.com/download"" | sed -n 's/^.*""url"":""\(https.*\.dmg\)"".*$/\1/p')"	$( echo $downloadURL | sed -e 's/.*\/ScreenCloud.*\-\([0-9.]*\)\.dmg/\1/g' )	3C4F953K6P		https://appcatalog.cloud/apps/screencloud-player
signiant-app	Signiant App	dmg	dynamic-scrape	"https://updates.signiant.com/signiant_app/$(curl -fs https://updates.signiant.com/signiant_app/signiant-app-info-mac.json"" | grep -o '""file"": *""[^""]*""' | awk -F '""' '{print $4}')"""	$(echo $downloadURL | sed -E 's/.*Signiant_App_([0-9]+(\.[0-9]+)*)\.dmg/\1/')	U6ZZ4QLU4Q		https://appcatalog.cloud/apps/signiant-app
sketchup-viewer	Sketchup Viewer	dmg	dynamic-scrape	$(curl -Lfs https://www.sketchup.com/en/sketchup-viewer/downloads | grep -o 'https://download.sketchup.com/SketchUpViewer[0-9\-]*.dmg')		J8PVMCY7KL		https://appcatalog.cloud/apps/sketchup-viewer
soundly	Soundly	dmg	direct	https://storage.googleapis.com/soundlyapp/Soundly.dmg		67Y6N7VTDG		https://appcatalog.cloud/apps/soundly
splashtop-sos	Splashtop Sos	dmg	direct	https://download.splashtop.com/sos/SplashtopSOS.dmg		CPQQ3AW49Y		https://appcatalog.cloud/apps/splashtop-sos
strongdm	Strongdm	dmg	direct	https://app.strongdm.com/downloads/client/darwin	"$(curl -fsLIXGET ""https://app.strongdm.com/downloads/client/darwin"" | grep -i ""^content-disposition"" | sed -e 's/.*filename\=\""SDM\-\(.*\)\.dmg\"".*/\1/')"	W5HSYBBJGA		https://appcatalog.cloud/apps/strongdm
surfdrive	Surfdrive	pkg	dynamic-scrape	"$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo ""(http|https)://[a-zA-Z0-9./?=_%:-]*"" | grep pkg | grep arm64)"	"$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo ""(http|https)://[a-zA-Z0-9./?=_%:-]*"" | grep pkg | grep arm |cut -d -f2)"	4AP2STM4H5		https://appcatalog.cloud/apps/surfdrive
synology-active-backup-for-business-agent	Synology Active Backup For Business Agent	pkgInDmg	dynamic-scrape	"$(appVersion=`curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed ""s|.*>\(.*\)<.*|\\1|""` && appShortVersion=`sed 's#.*-\(\)#\1#' <<< $appVersion` && echo https://global.download.synology.com/download/Utility/ActiveBackupBusinessAgent/""$appVersion""/Mac/x86_64/Synology%20Active%20Backup%20for%20Business%20Agent-""$appVersion"".dmg)"	"$(curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed ""s|.*>\(.*\)<.*|\\1|"" | sed ""s#.*-\(\)#\1#"")"	X85BAK35Y4	com.synology.activebackup-agent	https://appcatalog.cloud/apps/synology-active-backup-for-business-agent
synology-drive-client	Synology Drive Client	pkgInDmg	direct	https://global.download.synology.com/download/Utility/SynologyDriveClient/$appFullVersion/Mac/Installer/synology-drive-client-$appNewVersion.dmg	"$( echo $appFullVersion | sed s|.*-\(\)|\\1|"" )"""	X85BAK35Y4		https://appcatalog.cloud/apps/synology-drive-client
teamwire	Teamwire	dmg	direct	https://desktop.teamwire.eu/download.php?platform=darwinArm64	$(curl -fsI $downloadURL | grep -i 'Location' | cut -d ' ' -f2 | sed 's|.*dist/v\([^/]*\).*|\1|')	2JCSJ44B3U	eu.teamwire.app	https://appcatalog.cloud/apps/teamwire
things	Things	zip	direct	https://culturedcode.com/things/download/		JLMPQHK86H		https://appcatalog.cloud/apps/things
trint	Trint	zip	direct	https://desktopapp.trint.com/latest/darwin/arm64/Trint.zip	"$(getJSONValue ""$(curl -fsL https://desktopapp.trint.com/updates/darwin/arm64/RELEASES.json)"" ""currentRelease"" )"	4SN3PJXHG2		https://appcatalog.cloud/apps/trint
ultracompare	Ultracompare	dmg	direct	https://downloads.ultraedit.com/main/uc/mac/UltraCompare.dmg		2T4C9Y59FF		https://appcatalog.cloud/apps/ultracompare
universal-type-client	Universal Type Client	pkgInZip	dynamic-scrape	"https://bin.extensis.com/$( curl -fs https://www.extensis.com/support/universal-type-server-7/ | grep -o ""UTC-[0-9].*M.zip"" )"	"$(echo ""$downloadURL"" | awk -F'UTC-' '{split($2, a, ""-M""); print a[1]}' | tr '-' '.')"	J6MMHGD9D6		https://appcatalog.cloud/apps/universal-type-client
visualz	Visualz	dmg	github	$(downloadURLFromGit madchops1 visualz-releases)	$(versionFromGit madchops1 visualz-releases)	6RLU6426R3		https://appcatalog.cloud/apps/visualz
vivi	Vivi	pkg	dynamic-scrape	"$(curl -sf https://api.vivi.io/mac | grep -o '<a .*href=.*>' | sed -e 's/<a /\n<a /g' | sed -e 's/<a .*href=['""'""'""]//' -e 's/[""'""'""'].*$//' -e '/^$/ d')"	"$(curl -fsIL https://api.vivi.io/mac | grep -i ""^location"" | awk ""{print $2}"" | sed -E ""s/.*\/[a-zA-Z]*-([0-9.]*)\..*/\1/g"")"	3NRCUJ8TJC	au.com.viviaustralia.mac	https://appcatalog.cloud/apps/vivi
vonage-business	Vonage Business	dmg	direct	https://vbc-downloads.vonage.com/mac/VonageBusinessSetup.dmg	"$(curl -fs ""https://s3.amazonaws.com/vbcdesktop.vonage.com/prod/mac/latest-mac.yml"" | grep -i version | cut -w -f2)"	E37FZSUGQP		https://appcatalog.cloud/apps/vonage-business
windsurf	Windsurf	dmg	dynamic-scrape	"$(curl -fsL https://docs.devin.ai/desktop/releases"" | grep -Eo 'https://[^""\]*-darwin-arm64-[0-9.]+\.dmg' | head -n 1)"""	"$(basename $downloadURL"" .dmg | awk -F- '{print $NF}')"""	83Z2LHX6XW		https://appcatalog.cloud/apps/windsurf
workbrew	Workbrew	pkg	direct	https://console.workbrew.com/downloads/macos	"$(curl -sIL https://console.workbrew.com/downloads/macos | grep -i ^content-disposition:"" | grep -o '[0-9]\+\.[0-9]\+\.[0-9]\+')"""	676JW3JDLF		https://appcatalog.cloud/apps/workbrew
xink	Xink	pkg	direct	https://downloads.xink.io/macos/pkg	"$(curl -fs ""https://downloads.xink.io/macos/appcast"" | xpath '(//rss/channel/item/enclosure/@sparkle:version)[1]' 2>/dev/null | head -1 | cut -d '""' -f 2)"	F287823HVS	com.emailsignature.Xink	https://appcatalog.cloud/apps/xink
zerotier	Zerotier	pkg	direct	https://download.zerotier.com/dist/ZeroTier%20One.pkg	$(versionFromGit zerotier ZeroTierOne )	8ZD9JUCZ4V	com.zerotier.pkg.ZeroTierOne	https://appcatalog.cloud/apps/zerotier
zoho-workdrive-genie	Zoho Workdrive Genie	dmg	direct	https://www.zoho.com/workdrive/downloads/edit-tool/Zoho_WorkDrive_Genie.dmg		TZ824L8Y37		https://appcatalog.cloud/apps/zoho-workdrive-genie
azul-zulu-jdk-11	Azul Zulu Jdk 11	pkgInDmg	dynamic-scrape	"https://cdn.azul.com/zulu/bin/$(curl -fs ""https://cdn.azul.com/zulu/bin/"" | grep -Eio '"">zulu11.*ca-jdk11.*x64.dmg(.*)' | cut -c3- | sed 's/<\/a>//' | sed -E 's/([0-9.]*)M//' | awk '{print $2 $1}' | sort | cut -c11- | tail -1)"	"$(echo ""$downloadURL"" | cut -d ""-"" -f 1 | sed -e ""s/.*zulu//"") # Cannot be compared to anything"	TDTHCUPYFR	com.azulsystems.zulu.11	https://appcatalog.cloud/apps/azul-zulu-jdk-11
